NATIONAL UNIVERSITY OF ENGINEERING
FACULTY OF CIVIL ENGINEERING
JAPAN-PERU CENTER FOR EARTHQUAKE ENGINEERING RESEARCH AND DISASTER MITIGATION (CISMID)
TUPAC AMARU AVENUE 1150 - LIMA 25 - PERU Postal Code 31-250 Lima 31
Telephone Numbers (51-1) 482-0777, 482-0790 FAX 481-0170
e-mail: f_lazares@uni.edu.pe	http://www.cismid-uni.org

1. INFORMATION ABOUT THE SEISMIC STATION
STATION NAME               :  Parque de la Reserva                                                                                
STATION CODE               :  PRQ       
STATION LOCATION           :  Parque de la Reserva, Cercado de Lima, Lima                                                         
LATITUDE                   :  -12.07 
LONGITUDE                  :  -77.04 
ALTITUDE (m)               :  130                 
ACCELEROMETER MODEL        :  Acelerógrafo Analógico                                                                              
SAMPLING FREQUENCY (Hz)    :   50

2. INFORMATION ABOUT THE EARTHQUAKE
DATE                       :  October 17, 1966                                                                                    
ORIGIN TIME (Local)        :  16:41:00                                                                                            
LATITUDE                   :  -10.70                                                                                              
LONGITUDE                  :  -78.70                                                                                              
DEPTH (km)                 :  24.00                                                                                               
MAGNITUDE                  :  8.1 Mw                                                                                              
INFORMATION SOURCE         :  IGP                                                                                                 

3. INFORMATION ABOUT THE RECORD
RECORD TIME (Local)        :  16:41:00
NUMBER OF SAMPLES          :      3283
MAXIMUM ACCELERATION       :   -180.56   -268.24     94.29
DATA UNITS                 :  cm/s2   

4. COMMENTS
BASELINE CORRECTED

5. ACCELERATION DATA
               T              EW              NS              UD
          2.6000          0.6659          6.2047          8.4871
          2.6200        -13.0091          7.2507          5.8171
          2.6400        -13.9671         10.3807          4.5791
          2.6600         -7.6401         14.3287          3.8231
          2.6800         -3.0521         11.2187         -3.8909
          2.7000         -5.4471          4.4027         -7.9289
          2.7200         -8.6901          1.1647         -2.1599
          2.7400         -7.0011         -1.5993         -1.6369
          2.7600         -3.4461         -2.0083         -4.1119
          2.7800         -4.7261         -0.1713         -0.4979
          2.8000         -5.1451         -4.7003          1.1611
          2.8200          2.5469         -8.6063         -8.9569
          2.8400         11.0729         -4.9423        -10.6439
          2.8600         11.0989         -1.4773          0.1971
          2.8800          3.8509         -0.3233          5.7151
          2.9000         -1.3081          0.2727          7.7721
          2.9200         -1.6981         -2.8873         15.0751
          2.9400         -0.0591         -3.9643         16.6911
          2.9600          1.4689          3.7097          7.1161
          2.9800          8.6579          9.1427         -2.6289
          3.0000          7.1579          5.8707         -3.6089
          3.0200         -6.1621         -0.0623          0.7721
          3.0400         -4.0701         -0.9723          2.3461
          3.0600          1.1559          5.0357          3.9701
          3.0800         -9.3251          0.4237          1.0031
          3.1000        -13.9721         -3.0713        -15.0629
          3.1200         -7.8681         -3.8923        -19.8149
          3.1400          1.4849        -12.7333        -12.6399
          3.1600          7.2719        -11.5293         -9.3319
          3.1800          2.7999         -6.7723          1.7581
          3.2000         11.2159         -5.6403          8.0861
          3.2200         14.1769         -0.4603          4.3521
          3.2400          3.4859          2.5747          1.6031
          3.2600          1.1579          6.6607         -0.4169
          3.2800          2.0809         11.1997         -1.4269
          3.3000          1.6389          3.5997         -0.9279
          3.3200         -2.2771         -2.8813         -2.6039
          3.3400         -7.7171          3.2697         -5.8029
          3.3600         -8.4891          5.2067         -7.4849
          3.3800         -3.2401         -0.1103         -8.9449
          3.4000          1.5799         -0.1383         -3.0749
          3.4200          4.5999         -0.4793          0.6281
          3.4400          7.5959         -5.6403         -6.8319
          3.4600          9.5379         -8.9643         -6.0229
          3.4800          8.4559         -5.4163         -2.5259
          3.5000          5.4349          1.6317         -0.3659
          3.5200          2.6999          1.6287          5.9901
          3.5400         -0.3781         -2.1233          6.4981
          3.5600         -1.6501          0.6437         -3.2019
          3.5800          1.9669          2.0037         -4.3519
          3.6000          6.2059         -0.9433          3.6021
          3.6200         -1.0441          5.0817          8.9111
          3.6400         -8.5921         11.9427          7.0711
          3.6600         -4.4381          6.7437         -2.3619
          3.6800         -0.6981          4.5577         -4.6849
          3.7000         -3.2051         -0.9913          1.7821
          3.7200         -4.2001         -7.1323          1.4131
          3.7400         -1.9341          2.3347         -3.3559
          3.7600         -1.2391          3.9067         -4.8719
          3.7800         -2.0491         -2.0373          0.6911
          3.8000         -1.6621          4.1397         -0.8019
          3.8200          1.1329          7.7957         -8.6569
          3.8400          4.3049         -3.2933         -5.2769
          3.8600          5.0819         -3.5763         -0.2199
          3.8800          3.4069          1.3817          0.9371
          3.9000          5.2679          1.5877          0.8451
          3.9200          3.3909          1.0107         -0.1019
          3.9400         -3.1111         -9.8763         -4.5129
          3.9600         -0.1471         -4.4413        -11.8409
          3.9800          6.2149          7.7937         -9.5399
          4.0000          6.4499          3.1067         -7.1089
          4.0200          4.6139          5.5667         -0.5189
          4.0400          2.8259          9.5777         13.4911
          4.0600          0.5909          7.4347         16.9901
          4.0800         -6.7911          9.3167         18.8511
          4.1000         -6.2391          5.6257         11.2781
          4.1200          0.9419         -2.8953         -1.4959
          4.1400         -5.3791          0.5017         -1.4879
          4.1600          2.0179          7.5577         -0.9469
          4.1800          6.4359          0.2497          0.9401
          4.2000        -10.1061        -11.4483         -2.7319
          4.2200        -11.7421         -6.1543         -5.2009
          4.2400         -1.4011          0.8217          2.6261
          4.2600         -3.5991        -10.4953         -1.5439
          4.2800         -8.9581        -10.5113         -4.6449
          4.3000         -1.2831          3.9587          4.2911
          4.3200          2.9159          1.7777         -6.6029
          4.3400         -3.9401         -5.1093        -17.2029
          4.3600         -0.8891          1.0817        -10.1369
          4.3800          7.9549          9.9697        -11.9009
          4.4000          1.5879          8.1987        -17.9549
          4.4200         -0.5381          1.8847        -10.0409
          4.4400          7.2969          2.7237         -0.8289
          4.4600          5.0529          8.3847         -5.1769
          4.4800          1.9179          0.2237          4.4151
          4.5000          8.4059          2.0517         20.7631
          4.5200         14.6339         14.2817         15.3961
          4.5400          9.0699          7.1937          2.5551
          4.5600          4.9199          1.3657          6.9751
          4.5800          2.4439          0.3817         12.2041
          4.6000         -2.1221         -5.5483          2.9321
          4.6200          0.7899        -10.8283         -9.2389
          4.6400         -5.2671         -5.7723         -5.3909
          4.6600        -17.9731          2.7387         11.1751
          4.6800        -10.6951         -0.5983         17.3871
          4.7000          1.5419         -3.8983         20.6011
          4.7200         -1.8411          3.7417         10.0901
          4.7400         -2.8901          2.3057         -5.9359
          4.7600          7.9839         -8.6363        -10.9959
          4.7800          8.1299         -2.0393        -15.8159
          4.8000         -6.9221          1.3277        -17.5109
          4.8200         -6.2101         -0.6653        -13.8019
          4.8400          1.4969         10.1217         -7.4199
          4.8600         -5.5731         13.0397         -0.3089
          4.8800         -8.2461          1.9767          6.8561
          4.9000          2.4079         -0.9813          3.0471
          4.9200          5.1649          9.6637        -10.2369
          4.9400         -0.9071          4.7757         -8.7619
          4.9600         -3.5851         -6.9223         -4.1809
          4.9800         -5.0311         -4.0023         -7.7019
          5.0000         -1.6951         -5.7963        -12.3839
          5.0200          7.6959         -5.5163        -15.1559
          5.0400          1.8669          5.1517        -10.5219
          5.0600          0.2239          3.3567          1.1221
          5.0800         13.0539         -7.3163         17.6391
          5.1000         11.3449         -4.7543         22.6211
          5.1200         -1.7621          8.2487         13.5191
          5.1400         -0.7161         10.4907          7.1631
          5.1600          8.6169          3.1687          3.7431
          5.1800          3.3549         -0.7793        -14.7379
          5.2000         -7.3371         -2.7273        -22.9999
          5.2200         -2.2911         -2.6943         -7.7969
          5.2400         -0.7181          3.6167         -3.9649
          5.2600        -13.0321          4.1997          5.3661
          5.2800        -10.4831          5.2057         19.2991
          5.3000         -2.6041         12.0617         12.1071
          5.3200         -5.4141          0.6927          1.7071
          5.3400          2.6519        -12.8783         -5.9419
          5.3600          0.6919        -10.9943        -12.6759
          5.3800        -10.1611         -8.7723         -9.5679
          5.4000         -1.5311         -2.8733         -1.6759
          5.4200          1.6579          7.4247         -5.6549
          5.4400          2.7659          5.3117        -13.8549
          5.4600          9.5699         -2.9993         -5.3989
          5.4800          7.2829          3.6127         10.4761
          5.5000         -0.0361          2.9197          8.6941
          5.5200          2.2899         -8.1553         -3.5539
          5.5400         10.0809         -0.1223         -9.5319
          5.5600         12.4579          3.6097        -11.8729
          5.5800         15.8989         -5.1103         -7.3619
          5.6000         12.7239          1.3007          3.1931
          5.6200         -6.2851          0.1427          6.7511
          5.6400        -11.7691         -4.6323          1.8551
          5.6600          2.5619          7.6897         -3.8469
          5.6800          5.0359         10.6267         -8.3309
          5.7000         -3.4041          8.5347         -4.5319
          5.7200         -6.9011          7.4297         11.0721
          5.7400         -7.0341          7.6167         31.0311
          5.7600        -11.1921          9.4717         30.7471
          5.7800         -9.8661          5.5777          9.8641
          5.8000         -2.6771          0.7997         -0.9259
          5.8200         -8.2601          1.6547          3.7951
          5.8400        -12.4911          8.2747         12.6321
          5.8600         -0.0611          0.7367         22.7641
          5.8800        -12.3691         -6.3543         19.3561
          5.9000        -19.0201         -5.7553         10.5581
          5.9200          4.7289         -0.4643          4.7261
          5.9400         -4.0201          4.7237          0.7051
          5.9600         -5.6551          0.0567         -1.7959
          5.9800          8.8519          1.7247         -9.5819
          6.0000         -9.0281          3.9657        -12.2769
          6.0200         -6.1951         -6.7573        -16.4459
          6.0400         17.3129          0.0997        -15.9439
          6.0600         11.9149          5.7257          5.4131
          6.0800         -2.4331         -4.7183          6.5801
          6.1000        -12.7481         -8.9663         -6.8289
          6.1200         -6.6011        -11.9713         -8.6899
          6.1400         -0.3211         -0.5163        -13.4869
          6.1600         -1.4751          6.0187        -17.7429
          6.1800         13.3439         -2.2723        -14.4619
          6.2000          7.6749         -5.7243         -6.9889
          6.2200         -3.6101         -0.6303          7.9031
          6.2400         15.7759         11.2727         22.0081
          6.2600         12.2199         19.1467         20.3721
          6.2800         -6.5411          7.8217          2.9061
          6.3000          2.1509         -4.1513         -4.1029
          6.3200          8.3439          1.9627         -3.9929
          6.3400          3.8439          7.2797          2.4421
          6.3600          1.0709          1.2957         12.4801
          6.3800         -5.0271         -7.0223          3.0921
          6.4000         -9.6011         -9.1623        -17.3319
          6.4200         -7.6851         -4.6353        -20.2879
          6.4400         -1.8081         -1.0563         -1.3329
          6.4600          3.7309          3.8897         13.2751
          6.4800          0.1629          4.3977          5.2321
          6.5000         -9.8121          1.6237         -3.0889
          6.5200        -12.7381          7.1987          0.5181
          6.5400          3.1139         12.4237         10.0231
          6.5600          8.7759         10.6647          7.9741
          6.5800        -10.0151          7.1587        -13.0559
          6.6000        -12.7551          4.8637        -16.8289
          6.6200         -6.3791          5.2787          6.9711
          6.6400        -11.3371          2.3697         24.0451
          6.6600        -13.1241          6.0647         18.6381
          6.6800         -0.6961         11.1407         -3.2449
          6.7000         -3.3591          5.3757        -20.8559
          6.7200         -0.2371         -3.5683         -5.2519
          6.7400          7.1099         -0.0323          3.7741
          6.7600         -7.4961          2.3187        -12.6609
          6.7800         -5.5991        -13.2793         -5.8359
          6.8000         -1.0651        -15.1543          9.7301
          6.8200         -8.0501         -0.3103         11.6741
          6.8400          2.7219          5.3027          8.4451
          6.8600          4.2569          1.9977          4.6251
          6.8800        -16.3461          1.5757         -4.6809
          6.9000        -14.5761          4.4497        -13.3039
          6.9200         -9.4681         -3.9313         -9.0209
          6.9400          1.0589          1.4407         -4.9199
          6.9600         10.8379         12.5717          0.9341
          6.9800         14.6179         14.5357         -7.8419
          7.0000         13.2059          1.9027        -10.8569
          7.0200         12.5179        -15.5613         -7.2449
          7.0400         16.8599         -6.0073         -7.1889
          7.0600          8.8969         -1.5763         -3.3849
          7.0800          3.5479         -0.3863          6.1321
          7.1000          8.5529         -4.2763         25.8461
          7.1200         11.0429         -6.7223         15.4281
          7.1400          0.6219          0.6427         -8.6789
          7.1600         -0.7951          4.4407        -22.7979
          7.1800         -4.6201         13.7447        -19.8219
          7.2000         -6.0281         12.4287         -4.6789
          7.2200          8.0509          5.3387        -17.0859
          7.2400         -1.2711          5.2377        -18.5169
          7.2600        -12.9591          3.6537          2.8821
          7.2800         -0.7311          8.2887         19.1221
          7.3000         13.2509          7.8117         24.7941
          7.3200          9.4039          1.7777         11.9271
          7.3400         -8.9021          8.4337         -1.3779
          7.3600        -10.3611          8.2007          5.3641
          7.3800          6.4499         -4.3583          2.6871
          7.4000         14.7389         -0.9083          8.9631
          7.4200         14.4199         16.4227          5.1481
          7.4400          9.2139          6.9597        -12.1969
          7.4600         -2.1971         -9.9213         -7.2039
          7.4800          6.0399         -0.4363          0.5911
          7.5000          5.9969         10.3327          7.2871
          7.5200        -17.5241         -1.7013          1.4181
          7.5400        -26.1441        -12.8743          6.1051
          7.5600         -7.9371         -5.3403         14.1961
          7.5800          5.9849         -0.8223         -0.2179
          7.6000         -3.0511         -6.5363         -5.8599
          7.6200        -10.6011          6.5327          9.8861
          7.6400         -5.1511         16.5017          3.7521
          7.6600          4.2989          7.9497        -16.7659
          7.6800          6.0029          4.4667         -6.1769
          7.7000         13.5169          1.6787          7.4821
          7.7200         -2.7571          9.1247         -3.2319
          7.7400        -16.8791          5.1787        -18.0759
          7.7600        -11.5591         -8.8933        -21.8819
          7.7800        -19.5241         -6.1183        -25.5799
          7.8000         -8.4441          3.1717         -3.6719
          7.8200         20.6979         12.6747         36.8741
          7.8400         13.5709         12.7467         36.3101
          7.8600        -12.5451         -4.6393         -0.5379
          7.8800         -2.4501        -12.0743        -18.8259
          7.9000         11.4629          5.4097        -15.8459
          7.9200         13.4299          3.6257        -19.8329
          7.9400          4.5649         -7.3773         -2.8199
          7.9600          1.3709        -10.8123         19.2771
          7.9800        -11.2401         -3.1533         17.9601
          8.0000        -13.4831          2.8107         25.0201
          8.0200         10.1339         -0.3223         29.9911
          8.0400          5.1399         11.8877          5.8651
          8.0600          2.1959          9.0577        -13.7179
          8.0800         17.1039         -4.9693         -5.6739
          8.1000          2.7349          5.4497         -7.5349
          8.1200         -7.7421          4.8447        -13.6439
          8.1400          6.3449         -5.0533         -7.1789
          8.1600         -1.8881          6.2847          5.0931
          8.1800        -12.8541         20.1147         15.9521
          8.2000         -0.6491         14.0137         13.1611
          8.2200          3.1199         15.0057         15.6271
          8.2400         -1.8041         23.7527          8.8221
          8.2600          2.3599         18.8047        -28.3659
          8.2800         10.9109          0.0397        -32.5079
          8.3000         19.3659        -15.0463          0.6051
          8.3200          8.6629        -16.2773         16.2671
          8.3400        -11.8351        -19.0853         17.9461
          8.3600          0.1079         -9.9593          6.1501
          8.3800          6.8919         14.3137         -5.8189
          8.4000         -4.1331         27.6797        -15.3659
          8.4200         10.8109         19.1567          0.7581
          8.4400          3.9069         16.3697         12.7731
          8.4600        -26.4041          7.1567         -3.1449
          8.4800        -12.8311        -21.5243         -0.4279
          8.5000         14.9399        -30.1963        -15.5319
          8.5200          9.3719         -1.6363        -13.6689
          8.5400          5.5839         -0.4203         -3.0329
          8.5600          1.6959         -3.4083        -10.6429
          8.5800        -18.3301         -0.6363          2.5871
          8.6000        -10.5581         -1.8333         12.3731
          8.6200         -7.3871          5.7137         15.8711
          8.6400         -9.3121         -2.1553          6.8321
          8.6600         -6.4281        -17.6733          4.0781
          8.6800         -9.4471        -24.8513          6.7571
          8.7000          5.1329          0.9727        -17.0109
          8.7200         13.6019         17.5757         -5.3029
          8.7400          5.8199         -1.5663         25.2181
          8.7600         -3.4741         -3.5523         14.8351
          8.7800        -13.5441         12.8577         -1.9609
          8.8000         -4.8621         15.1397         -3.3499
          8.8200          2.7169         16.0387          6.6531
          8.8400        -16.8521         14.9537          3.3701
          8.8600         -8.1561          2.1647         -2.2169
          8.8800         -3.7941          4.7047         -2.9999
          8.9000        -10.7251         13.9677         -1.7819
          8.9200          4.5689          8.4637          8.9841
          8.9400         15.2319         13.4547         11.5381
          8.9600          4.9299         16.7787         -2.2519
          8.9800        -11.5591          9.9287        -13.6739
          9.0000         -8.2111         -1.6183         -6.3889
          9.0200          8.4039        -11.9793         -6.3979
          9.0400          5.9739         -6.9963        -18.0959
          9.0600         -6.8981        -11.2683          2.7011
          9.0800          4.6709        -13.7293         33.7421
          9.1000         -0.4301          6.3157         29.2821
          9.1200        -31.2571          0.2567         13.2301
          9.1400         -3.9411        -17.7663          0.1061
          9.1600         32.1299        -12.2133        -12.7189
          9.1800         15.9939         -3.1773         -8.9739
          9.2000          0.4209          2.3707        -13.7809
          9.2200        -18.1171         15.5277        -14.3569
          9.2400        -21.8421         16.5837         -9.7239
          9.2600        -11.3391          6.2487         -6.2419
          9.2800        -10.9061         10.0787         14.1971
          9.3000         -3.9181          2.6627         22.0481
          9.3200         -8.3881         -3.5473         -5.6559
          9.3400         -0.6541          7.6307         -9.9549
          9.3600         23.7199          7.0557          9.5071
          9.3800          4.0989         10.8677          3.6111
          9.4000         -6.0741         -7.8473        -23.1459
          9.4200          2.0719        -18.0353        -20.2779
          9.4400         -3.6971          7.3737          9.3631
          9.4600         10.5259          3.6727          1.1291
          9.4800         11.1569         -9.6053        -10.7559
          9.5000        -16.1681         -3.5593        -13.9039
          9.5200        -11.8641          2.2177        -21.9509
          9.5400          9.8419         -4.9843         -8.2449
          9.5600          9.8829        -13.4553         11.0711
          9.5800          1.7409         -2.0553          0.0591
          9.6000          1.1879          6.4357          6.1171
          9.6200          8.7599         -0.0643         31.6771
          9.6400          6.1469          9.9167         34.6121
          9.6600         -9.7021         14.5747         13.1121
          9.6800          2.2129          7.0577        -15.1339
          9.7000          6.9819         14.2227          5.5011
          9.7200          1.6189         12.6327         19.7211
          9.7400          5.1749         -7.2053        -16.7859
          9.7600        -16.9031         -2.0753        -27.9039
          9.7800        -14.4941          3.4557         -7.4799
          9.8000          0.8689         -5.3193        -10.6359
          9.8200          9.7379         -8.6393          1.6111
          9.8400         12.6039         -4.8583         29.2721
          9.8600        -12.8651         18.0107         31.8841
          9.8800        -11.7571         19.0307         15.0591
          9.9000         16.6399         14.9597         -6.5299
          9.9200          7.0889         15.7497         -7.6369
          9.9400         -4.3821        -12.7233        -22.2799
          9.9600          7.0509        -23.5843        -29.5159
          9.9800         14.5919         -6.2393        -12.0789
         10.0000         -9.2521          7.9137         -1.2649
         10.0200        -24.1891          8.3037         12.2391
         10.0400          0.1929         -1.4863         26.0631
         10.0600         18.3629          6.9377         12.5021
         10.0800          1.9089         29.7147          7.9371
         10.1000         -3.2171         25.3327         22.3951
         10.1200          7.3759          1.5587         12.9401
         10.1400         -3.9741         -5.1583        -11.0449
         10.1600          3.2849          5.0357        -21.0889
         10.1800         14.1049          3.3957        -26.4799
         10.2000         -6.7561        -13.4273         -6.9229
         10.2200        -15.3541        -13.2983         26.4221
         10.2400         -8.8131          0.9697         10.6461
         10.2600        -19.5221          2.9577        -15.2849
         10.2800          3.2459        -10.8583         -4.1349
         10.3000         24.7099        -12.2993         16.9891
         10.3200         15.5199         -2.2073         27.6571
         10.3400         -2.7131         -1.0273         25.0191
         10.3600        -18.6381          6.5157         10.8601
         10.3800          1.3699          5.1847         -6.2819
         10.4000         11.2719         -4.1753          9.6561
         10.4200         -6.8781         12.4227        -19.3799
         10.4400        -10.8261         -1.0433        -36.2849
         10.4600          4.9479         -5.2953          7.7591
         10.4800         -4.8421         10.3347         17.3291
         10.5000         -6.7151          9.1187          1.2021
         10.5200         -9.6681         11.6667         16.7011
         10.5400        -11.8921         11.1367         27.2921
         10.5600         16.3569         16.3717          0.6191
         10.5800         20.8839         16.2477        -17.9429
         10.6000          4.1189          8.8157         -3.3669
         10.6200         -6.0371          4.0807         -1.9109
         10.6400         -8.6951          6.1277         -6.1709
         10.6600         -5.0501         -2.0193         12.2131
         10.6800          0.3769         -7.7253         10.0731
         10.7000         -7.2071        -14.2913        -10.5669
         10.7200         -7.2581         -8.3573        -15.9869
         10.7400         -1.3981         16.7267         -0.3479
         10.7600         -0.2871         -1.2823          3.7631
         10.7800          5.9409        -21.4413         15.1551
         10.8000          6.1179         -1.4613         14.4701
         10.8200         -1.1041         24.5257        -14.4639
         10.8400         -8.2241          7.7967        -23.8569
         10.8600          1.5369         -7.5323         -2.5569
         10.8800         -0.3561         12.4497          0.1921
         10.9000        -12.5291          6.5907        -17.1269
         10.9200          5.3509        -20.7123        -10.0009
         10.9400          4.7059         -8.8463          2.1481
         10.9600         -3.5661          8.5387         -0.7659
         10.9800         15.1639          0.4327          4.8781
         11.0000          9.2089          3.1857          7.2931
         11.0200          1.0469          2.3707         -0.5419
         11.0400         22.6669        -10.8683          4.6131
         11.0600         23.2259        -11.3163         18.4481
